,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ushuaia,-54.8,-68.3,31.59,87,92,4.25,AR,1662414406
1,Marabu,4.4148,114.0089,71.74,100,40,2.3,MY,1662414525
2,Busselton,-33.65,115.3333,49.51,88,100,3.24,AU,1662414526
3,Antofagasta,-23.65,-70.4,58.28,69,18,4.99,CL,1662414526
4,Guadalajara,20.6667,-103.3333,75.97,81,87,4.03,MX,1662414430
5,Port Alfred,-33.5906,26.891,57.18,70,0,5.99,ZA,1662414526
6,Rikitea,-23.1203,-134.9692,72.39,67,21,19.1,PF,1662414527
7,Hasaki,35.7333,140.8333,77.29,84,19,9.93,JP,1662414527
8,Castro,-24.7911,-50.0119,56.57,77,84,4.21,BR,1662414528
9,Mahébourg,-20.4081,57.7,70.09,78,75,12.66,MU,1662414528
10,Rancho Palos Verdes,33.7445,-118.387,101.98,72,0,8.99,US,1662414528
11,Port Hawkesbury,45.6169,-61.3485,65.17,78,0,8.99,CA,1662414529
12,Esperance,-33.8667,121.9,55.24,80,82,11.21,AU,1662414529
13,Severo-Kuril'sk,50.6789,156.125,54.28,93,96,8.63,RU,1662414530
14,Pāsighāt,28.0667,95.3333,74.7,94,98,2.01,IN,1662414530
15,Sümeg,46.977,17.2821,68.05,67,3,3.96,HU,1662414530
16,Jumla,29.2747,82.1838,57.22,93,65,1.14,NP,1662414531
17,Maceió,-9.6658,-35.7353,76.44,83,40,5.75,BR,1662414261
18,Bluff,-46.6,168.3333,41.81,62,88,11.52,NZ,1662414531
19,Vaini,-21.2,-175.2,78.96,94,75,9.22,TO,1662414532
20,Evensk,61.95,159.2333,47.01,50,9,5.41,RU,1662414533
21,Copperas Cove,31.1241,-97.9031,95.31,41,75,8.05,US,1662414365
22,Tuatapere,-46.1333,167.6833,41.59,79,100,5.68,NZ,1662414533
23,Albany,42.6001,-73.9662,65.73,94,100,1.39,US,1662414324
24,Tuktoyaktuk,69.4541,-133.0374,41.0,87,100,29.93,CA,1662414534
25,Panórama,40.5878,23.0315,70.12,76,40,5.99,GR,1662414534
26,Fershampenuaz,53.5202,59.8117,46.09,81,100,12.82,RU,1662414535
27,Ponta do Sol,32.6667,-17.1,72.23,73,99,2.44,PT,1662414535
28,Yulara,-25.2406,130.9889,61.84,35,97,8.25,AU,1662414536
29,Mataura,-46.1927,168.8643,41.49,90,82,5.28,NZ,1662414536
30,Bahía Blanca,-38.7196,-62.2724,69.67,23,0,11.81,AR,1662414518
31,La Ronge,55.1001,-105.2842,77.25,36,75,12.66,CA,1662414537
32,Kalmunai,7.4167,81.8167,76.75,89,100,4.94,LK,1662414537
33,Fuente Palmera,37.7049,-5.0996,77.95,66,69,8.41,ES,1662414538
34,Vitim,59.4511,112.5578,46.06,93,100,8.34,RU,1662414538
35,Cape Town,-33.9258,18.4232,55.09,68,75,4.61,ZA,1662414427
36,Ancud,-41.8697,-73.8203,49.23,79,100,13.87,CL,1662414539
37,Kavieng,-2.5744,150.7967,81.99,70,78,8.32,PG,1662414539
38,Okhotsk,59.3833,143.3,52.02,76,100,3.18,RU,1662414539
39,Korla,41.7597,86.1469,72.45,19,0,2.73,CN,1662414540
40,Nouadhibou,20.931,-17.0347,78.78,78,0,16.11,MR,1662414540
41,Illapel,-31.6308,-71.1653,71.01,46,3,3.51,CL,1662414529
42,Mujiayingzi,42.1167,118.7833,48.54,39,12,7.25,CN,1662414541
43,Álamos,27.0167,-108.9333,96.58,35,27,4.56,MX,1662414541
44,Mount Isa,-20.7333,139.5,55.17,71,0,3.44,AU,1662414542
45,Pimentel,-6.8367,-79.9342,66.49,72,0,19.57,PE,1662414542
46,Kavaratti,10.5669,72.642,78.06,89,100,24.34,IN,1662414543
47,Souillac,-20.5167,57.5167,70.18,78,75,12.66,MU,1662414543
48,Sulangan,11.1373,123.7228,81.34,79,100,6.31,PH,1662414544
49,Faanui,-16.4833,-151.75,78.28,72,31,14.38,PF,1662414544
50,East London,-33.0153,27.9116,59.63,55,0,18.37,ZA,1662414509
51,Touros,-5.1989,-35.4608,76.15,83,40,14.56,BR,1662414545
52,Butaritari,3.0707,172.7902,81.52,79,76,16.02,KI,1662414545
53,Klaksvík,62.2266,-6.589,58.12,99,100,17.85,FO,1662414546
54,Atuona,-9.8,-139.0333,77.02,68,46,22.41,PF,1662414546
55,Barrow,71.2906,-156.7887,39.22,70,100,5.75,US,1662414547
