,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hotel Name
32,Steinbach am Taunus,50.1667,8.5667,71.02,55,0,1.14,DE,1662413352,Vienna House MQ Kronberg im Taunus
159,Nsanje,-16.92,35.262,72.63,65,0,5.68,MW,1662413599,Shumba Lodge
171,Kiryat Gat,31.61,34.7642,77.68,78,0,2.37,IL,1662413540,Desert Gat
183,Angoche,-16.2325,39.9086,71.02,83,0,6.64,MZ,1662413607,Hotel Chando Angoche
190,Delījān,33.9905,50.6838,77.36,12,0,4.34,IR,1662413609,Rezvan Hotel
241,Bāfq,31.6128,55.4107,78.26,13,0,5.39,IR,1662413629,Hotel
294,Matagami,49.7502,-77.6328,71.71,30,0,4.61,CA,1662413649,Motel Le Caribou
298,Kumul,42.8,93.45,73.92,17,0,6.93,CN,1662413650,Π Hotel
310,Salta,-24.7859,-65.4117,72.19,23,0,9.22,AR,1662413655,Sheraton Salta Hotel
311,Malinyi,-8.9333,36.1333,71.49,47,0,4.25,TZ,1662413656,
333,Quelimane,-17.8786,36.8883,70.57,84,0,5.91,MZ,1662413664,Kansa Hotel
424,Deep River,46.1001,-77.4995,70.95,46,0,4.9,CA,1662413699,Shemron Suites Hotel
456,Akdepe,42.0551,59.3788,75.29,23,0,2.51,TM,1662413711,
474,Onalaska,43.8844,-91.2351,76.82,49,0,3.44,US,1662413566,"Country Inn & Suites by Radisson, La Crosse, WI"
499,Mitsamiouli,-11.3847,43.2844,74.03,76,0,9.28,KM,1662413726,Al Camar Lodge
